d1,d2,lat,lon,delta1,delta2,CNN1,CNN2
7.643847,7.944018,53.340425,-6.262958,8.722495,8.924835,0.918836,0.857193
19.922901,2.560618,53.340493,-6.263154,19.456611,2.303334,0.955091,0.945199
10.855366,2.028626,53.340527,-6.257470,10.125999,0.997426,0.966794,0.981799
14.972251,13.638348,53.340439,-6.249042,13.457307,12.688241,0.873360,0.867875
2.184155,14.990427,53.340490,-6.263039,0.846504,14.462152,0.741493,0.834600
7.420829,13.265052,53.340429,-6.262961,8.924835,13.048237,0.857193,0.999562
8.238083,13.148601,53.340522,-6.263118,10.896142,11.068092,0.915964,0.786415
8.791408,7.028546,53.340566,-6.258531,6.924392,6.989073,0.897706,0.993133
9.244316,5.026911,53.340592,-6.263542,8.443884,5.941586,0.870024,0.747315
7.614415,18.417062,53.340484,-6.262921,6.775131,18.691654,0.983906,0.894365
19.429880,6.614369,53.340675,-6.262718,20.081959,7.927171,0.821423,0.972344
9.768615,10.384861,53.340507,-6.251154,12.461482,10.482062,0.831133,0.554291
6.891645,19.334689,53.340571,-6.248912,11.226219,19.122403,0.975822,0.546631
9.532785,12.549110,53.340449,-6.249045,10.493330,12.688241,0.912579,0.867875
6.706628,14.651758,53.340476,-6.255387,11.853430,13.467639,0.831492,0.807698
15.465920,18.533777,53.340484,-6.262923,14.970229,18.691654,0.903355,0.894365
4.053092,12.989265,53.340525,-6.257500,0.997426,13.321241,0.981799,0.895386
4.530549,9.301466,53.340589,-6.263537,5.941586,6.549332,0.747315,0.603017
4.370120,19.090315,53.340587,-6.263536,5.941586,17.947631,0.747315,0.882339
16.411072,23.382595,53.340415,-6.249034,12.688241,22.806163,0.867875,0.986891
10.160081,7.068940,53.340676,-6.262725,8.555203,7.927171,0.998850,0.972344
13.795985,7.926255,53.340726,-6.263274,12.822747,9.546800,0.985811,0.736061
13.591030,14.440591,53.340724,-6.263274,12.822747,16.002429,0.985811,0.958696
11.592273,5.280371,53.340710,-6.255435,11.510529,2.551298,0.943771,0.529085
19.092104,4.645364,53.340778,-6.257269,18.341540,9.451422,0.993073,0.977627
8.745796,18.498065,53.340592,-6.263531,6.549332,17.947631,0.603017,0.882339
14.332013,8.498214,53.340725,-6.263265,15.956146,9.546800,0.880170,0.736061
11.122130,7.520028,53.340769,-6.249463,12.425164,6.293638,0.999487,0.878608
12.923863,9.604052,53.340640,-6.249596,9.386011,10.629194,0.910330,0.840956
13.034114,14.812823,53.340640,-6.249598,9.386011,14.948063,0.910330,0.853845
15.541454,8.882034,53.340731,-6.250914,16.758568,9.655284,0.899297,0.873436
5.613822,10.643322,53.340674,-6.258323,9.130551,13.634088,0.917621,0.827680
19.012611,6.015570,53.340847,-6.258446,20.407304,6.999931,0.948126,0.950693
6.222530,16.179583,53.340712,-6.255448,2.551298,16.948802,0.529085,0.884173
14.958521,6.129170,53.340800,-6.255504,15.817012,3.146640,0.706192,0.984259
14.832095,18.135172,53.340799,-6.255503,15.817012,16.133076,0.706192,0.914482
9.771796,14.942690,53.340639,-6.249597,10.629194,14.948063,0.840956,0.853845
7.750277,14.145443,53.340726,-6.263277,9.546800,16.002429,0.736061,0.958696
10.500593,13.549346,53.340747,-6.250921,10.998801,13.282789,0.926471,0.626968
10.993500,7.673328,53.340846,-6.258471,9.936975,6.999931,0.989274,0.950693
7.023570,17.832865,53.340810,-6.262650,5.301308,18.003052,0.949941,0.906625
19.890499,10.687015,53.340954,-6.262593,20.599400,9.480518,0.856037,0.954602
8.046092,14.686553,53.340737,-6.250921,9.655284,13.282789,0.873436,0.626968
18.938747,7.133510,53.340974,-6.263439,18.101675,7.938480,0.613752,0.927380
17.893727,6.609065,53.340937,-6.249967,13.558081,6.857223,0.906107,0.756354
9.122248,6.749329,53.340903,-6.262547,9.459556,7.975893,0.972903,0.861980
9.728133,3.643971,53.340900,-6.263335,9.823455,5.849451,0.998967,0.966270
9.557628,16.872375,53.340899,-6.263337,9.823455,15.280878,0.998967,0.886250
16.896258,6.588460,53.340976,-6.263431,16.438629,7.938480,0.999724,0.927380
16.350290,8.565237,53.340850,-6.246980,17.365548,8.330311,0.906178,0.985283
4.681361,12.012594,53.340848,-6.258426,6.999931,13.236179,0.950693,0.983590
6.918318,13.497174,53.340869,-6.258256,11.926905,14.082790,0.819790,0.960686
6.962746,18.095947,53.340851,-6.261251,7.092923,19.916959,0.914500,0.824869
6.297769,18.257137,53.340799,-6.255504,3.146640,16.133076,0.984259,0.914482
9.379602,6.342413,53.340935,-6.249970,8.527019,6.857223,0.975451,0.756354
11.150311,19.030861,53.340817,-6.250077,8.239860,21.288733,0.948111,0.983563
11.221405,7.615850,53.340821,-6.261661,13.857061,7.728884,0.868712,0.919317
11.212592,13.872282,53.340821,-6.261661,13.857061,15.838122,0.868712,0.949103
16.494153,8.169386,53.340987,-6.261643,15.464142,9.824168,0.966683,0.532073
15.618708,8.597575,53.340859,-6.261272,15.962984,8.040460,0.978277,0.859085
16.328881,8.279576,53.340959,-6.250726,13.538150,8.985009,0.987908,0.999726
16.285354,7.642774,53.340959,-6.250726,13.538150,8.078695,0.987908,0.500000
16.296469,19.482614,53.340959,-6.250726,13.538150,23.457944,0.987908,0.773349
5.193338,9.130149,53.340865,-6.246936,8.330311,9.356340,0.985283,0.971585
7.600554,13.856993,53.340821,-6.261661,7.728884,15.838122,0.919317,0.949103
10.722294,8.748515,53.340984,-6.261650,10.142647,9.824168,0.945109,0.532073
15.846500,7.662600,53.341004,-6.257147,20.778177,7.781654,0.844387,0.993670
7.766975,18.149689,53.340943,-6.249953,6.857223,17.113220,0.756354,0.943087
10.415305,20.332188,53.340807,-6.250067,4.575899,21.288733,0.959537,0.983563
10.589352,5.510910,53.340982,-6.255903,9.687101,6.617368,0.919146,0.607966
7.962579,15.380119,53.340901,-6.262565,7.975893,16.852164,0.861980,0.988620
9.048573,6.976795,53.340948,-6.262571,9.480518,3.969758,0.954602,0.976211
3.562661,16.690863,53.340900,-6.263336,5.849451,15.280878,0.966270,0.886250
7.745819,8.443169,53.340969,-6.263456,7.869237,7.938480,0.949185,0.927380
8.047338,22.552334,53.340954,-6.261696,9.350807,20.849724,0.885085,0.603957
11.830866,13.252383,53.340835,-6.261681,15.838122,14.863310,0.949103,0.914219
19.962435,11.514664,53.340975,-6.262081,20.866895,10.191508,0.827362,0.670640
19.932620,19.501825,53.340975,-6.262080,20.866895,20.464538,0.827362,0.985051
9.499614,2.961835,53.340978,-6.262070,8.620007,4.813432,0.987668,0.817119
18.377466,20.338034,53.340969,-6.261675,18.668272,20.849724,0.921940,0.603957
3.792690,7.391284,53.340947,-6.261231,3.208463,6.839851,0.884462,0.890558
8.235974,7.623015,53.340959,-6.250727,8.985009,8.078695,0.999726,0.500000
8.257209,19.466801,53.340959,-6.250726,8.985009,23.457944,0.999726,0.773349
17.306633,17.702002,53.341051,-6.251036,17.459362,14.858877,0.981858,0.968667
11.410546,15.321803,53.340975,-6.262082,10.191508,17.168571,0.670640,0.911787
11.538366,19.487314,53.340975,-6.262081,10.191508,20.464538,0.670640,0.985051
3.981301,10.666086,53.340991,-6.255257,4.674901,10.664505,0.974653,0.998579
14.493737,17.484778,53.341027,-6.257052,7.781654,19.579371,0.993670,0.975168
16.826267,15.571917,53.340981,-6.256494,19.458221,16.684091,0.906475,0.894570
4.271411,20.280625,53.340965,-6.262542,3.969758,19.430357,0.976211,0.749916
7.865170,8.393918,53.340974,-6.256482,8.090195,9.089024,0.913880,0.925520
7.705519,16.732307,53.340975,-6.256480,8.090195,16.684091,0.913880,0.894570
12.499702,18.220346,53.340979,-6.250547,12.260623,20.778330,0.971238,0.718315
6.728495,18.696650,53.340966,-6.250732,8.078695,19.617782,0.500000,0.989257
14.661151,19.775655,53.341046,-6.250992,14.858877,19.317147,0.968667,0.998234
10.045737,19.256961,53.340977,-6.261665,9.824168,20.849724,0.532073,0.603957
8.050594,16.389428,53.340977,-6.256484,9.089024,16.684091,0.925520,0.894570
5.759691,8.183064,53.341027,-6.247409,5.221309,8.585501,0.820018,0.985169
19.365976,5.864501,53.341203,-6.254978,22.577750,5.779774,0.896973,0.946369
14.689187,8.245877,53.341194,-6.262209,14.018567,4.801300,0.999442,0.992389
14.647420,17.204152,53.341193,-6.262209,14.018567,12.935206,0.999442,0.896980
15.570562,19.680153,53.340974,-6.262080,17.168571,20.464538,0.911787,0.985051
13.936451,11.817493,53.341168,-6.258166,13.932062,12.275254,0.934932,0.948275
14.222544,20.061021,53.341170,-6.258163,13.932062,17.404591,0.934932,0.865690
20.267210,17.210340,53.341184,-6.256913,19.109024,17.746397,0.988403,0.888959
8.683451,17.883003,53.341099,-6.250394,8.468134,17.485273,0.699802,0.988284
17.721125,17.987257,53.340972,-6.250721,19.617782,23.457944,0.989257,0.773349
19.267419,2.747790,53.341177,-6.263019,19.128486,4.658279,0.983300,0.939129
11.661609,10.566213,53.341176,-6.261075,9.897520,9.484288,0.980759,0.892919
10.305041,17.959250,53.341177,-6.256911,8.274939,17.746397,0.926628,0.888959
6.955496,15.497633,53.341173,-6.261514,5.725501,13.448911,0.944376,0.961576
20.345084,15.057435,53.341261,-6.261307,21.909777,14.933298,0.977302,0.923556
9.959996,4.229789,53.341188,-6.263006,8.548800,4.658279,0.990343,0.939129
18.270546,7.526342,53.341261,-6.250494,19.092666,9.709934,0.584860,0.944957
6.623127,16.419652,53.341196,-6.263280,12.087910,17.123342,0.950871,0.960813
6.458699,17.952878,53.341194,-6.263280,12.087910,18.234412,0.950871,0.739093
6.359101,8.927927,53.341192,-6.262219,1.837645,4.801300,0.962680,0.992389
10.338997,6.962317,53.341197,-6.254965,11.980653,5.779774,0.857730,0.946369
10.196996,15.975876,53.341196,-6.254967,11.980653,15.885669,0.857730,0.500000
7.118893,10.744591,53.341177,-6.258171,8.015221,12.275254,0.736004,0.948275
6.302330,12.723779,53.341204,-6.262989,4.658279,11.297425,0.939129,0.989780
16.286783,17.800384,53.341195,-6.263278,17.123342,18.234412,0.960813,0.739093
7.679077,18.896344,53.341169,-6.256908,10.281444,17.746397,0.978683,0.888959
17.525045,17.403977,53.341065,-6.250976,13.332833,19.317147,0.881413,0.998234
3.507838,10.673429,53.341175,-6.261075,5.526162,9.484288,0.988232,0.892919
15.313637,16.739397,53.341299,-6.261238,15.750576,16.462189,0.907070,0.820618
15.360722,8.343935,53.341299,-6.261238,15.750576,9.255862,0.907070,0.835959
14.483977,10.099063,53.341258,-6.261300,14.933298,11.813787,0.923556,0.887844
5.381678,14.288000,53.341181,-6.261501,9.926442,13.448911,0.703426,0.961576
16.851504,8.455183,53.341300,-6.261237,16.462189,9.255862,0.820618,0.835959
16.890472,5.215361,53.341300,-6.261236,16.462189,6.359620,0.820618,0.799235
13.134144,9.446828,53.341320,-6.250910,12.427056,9.444921,0.880801,0.739474
13.219058,14.960693,53.341321,-6.250910,12.427056,14.347199,0.880801,0.590325
17.444728,13.663248,53.341341,-6.250729,20.470237,13.522335,0.906580,0.980426
8.177888,17.107818,53.341194,-6.262208,4.801300,12.935206,0.992389,0.896980
18.263398,7.426929,53.341379,-6.262043,15.662291,6.898909,0.695387,0.991778
6.791194,15.791381,53.341198,-6.254967,5.779774,15.885669,0.946369,0.500000
7.159566,8.036914,53.341256,-6.250492,8.876500,9.709934,0.985871,0.944957
15.382651,18.852754,53.341340,-6.250754,13.693105,17.917525,0.743883,0.922269
9.214909,2.182949,53.341330,-6.256990,4.793692,5.154002,0.946532,0.854112
9.573186,15.061072,53.341321,-6.250909,9.444921,14.347199,0.739474,0.590325
19.363219,14.876857,53.341342,-6.250747,17.917525,13.522335,0.922269,0.980426
17.799675,9.314837,53.341350,-6.257977,16.249286,7.753690,0.960277,0.950778
11.732821,20.311180,53.341168,-6.258166,12.275254,17.404591,0.948275,0.865690
1.906847,17.817434,53.341276,-6.261094,0.820033,16.659080,0.723677,0.984229
16.007895,4.259913,53.341255,-6.261305,17.044218,3.265350,0.928651,0.928618
6.286490,8.324289,53.341325,-6.257957,7.753690,6.687932,0.950778,0.868974
8.490162,5.231428,53.341300,-6.261236,9.255862,6.359620,0.835959,0.799235
17.821354,17.272324,53.341280,-6.261090,18.970489,16.659080,0.983571,0.984229
14.107908,18.300240,53.341183,-6.251219,10.175121,17.103011,0.845579,0.888493
14.092134,5.500096,53.341340,-6.248261,14.840921,6.407885,0.989174,0.961349
19.824197,2.839471,53.341456,-6.252250,21.282625,3.970693,0.776005,0.885675
15.955335,19.455285,53.341344,-6.250763,13.522335,20.874300,0.980426,0.992723
9.062632,15.953860,53.341349,-6.262993,9.500241,15.428131,0.898319,0.997016
17.942398,8.802358,53.341481,-6.255118,14.870723,9.288564,0.999347,0.963266
17.424392,18.931279,53.341466,-6.254836,17.389150,20.796240,0.814484,0.793694
17.404435,18.788136,53.341465,-6.254836,17.389150,16.689027,0.814484,0.813872
7.196515,7.114452,53.341337,-6.248286,6.407885,8.450009,0.961349,0.731011
9.034358,16.265325,53.341380,-6.262067,6.898909,15.334128,0.991778,0.912313
18.491345,11.962587,53.341541,-6.251522,19.326361,8.706555,0.934302,0.984313
18.833629,19.575871,53.341544,-6.251524,19.326361,22.249230,0.934302,0.500000
10.540576,4.059996,53.341450,-6.252235,8.194567,3.970693,0.836849,0.885675
6.619715,14.169137,53.341365,-6.262993,7.520418,15.428131,0.610026,0.997016
19.000064,4.011907,53.341561,-6.260816,21.034232,2.111155,0.975096,0.848391
8.465490,18.780601,53.341466,-6.254838,5.783938,20.796240,0.540534,0.793694
13.765581,8.007149,53.341488,-6.255114,11.597883,9.288564,0.884413,0.963266
13.626879,11.722195,53.341487,-6.255113,11.597883,12.112039,0.884413,0.800759
10.570053,11.825577,53.341529,-6.251525,8.706555,10.417646,0.984313,0.830054
16.668655,7.740555,53.341598,-6.261807,17.714860,8.311945,0.800700,0.809021
5.990889,5.741711,53.341485,-6.246857,6.981349,6.195228,0.719594,0.960640
16.980096,19.930558,53.341608,-6.250535,18.639510,20.123994,0.745617,0.757514
13.886659,9.213384,53.341511,-6.250252,16.784339,12.130875,0.913227,0.907629
3.181343,12.791950,53.341477,-6.246893,6.195228,13.182907,0.960640,0.824310
12.539936,15.815939,53.341552,-6.248374,16.339024,14.989125,0.861711,0.991765
8.675854,17.857832,53.341454,-6.248628,8.746193,16.454864,0.970285,0.960255
19.546770,12.433117,53.341486,-6.251993,20.288767,13.765441,0.512645,0.788603
19.556942,13.866470,53.341617,-6.247262,18.302305,16.399559,0.953473,0.516366
19.328386,5.317362,53.341615,-6.247260,18.302305,4.657100,0.953473,0.951054
16.521403,23.718151,53.341549,-6.251463,10.417646,22.249230,0.830054,0.500000
8.516230,17.256947,53.341479,-6.254835,10.721458,16.689027,0.948868,0.813872
8.665331,4.963181,53.341555,-6.260807,5.006225,2.111155,0.847236,0.848391
14.368009,8.498155,53.341620,-6.247258,16.399559,9.698560,0.516366,0.922078
9.331260,7.465659,53.341558,-6.256756,12.324381,5.413796,0.961989,0.869257
8.992400,20.108849,53.341557,-6.256760,12.324381,22.482364,0.961989,0.945338
13.576230,10.520104,53.341483,-6.252009,13.765441,12.974270,0.788603,0.914870
12.602774,5.097015,53.341595,-6.247836,13.410323,6.164234,0.997849,0.998205
7.537438,18.380603,53.341588,-6.261840,6.665119,18.188181,0.990944,0.857245
5.559587,13.779533,53.341491,-6.248624,14.321192,16.454864,0.832083,0.960255
12.867275,9.800954,53.341525,-6.248396,11.587771,10.815289,0.983607,0.872490
4.676237,10.436263,53.341591,-6.247836,6.164234,9.519364,0.998205,0.981771
6.703900,15.559010,53.341494,-6.254834,6.035642,16.689027,0.527894,0.813872
7.938352,11.552651,53.341488,-6.255114,9.288564,12.112039,0.963266,0.800759
18.918745,18.765306,53.341466,-6.254836,20.796240,16.689027,0.793694,0.813872
10.789574,12.263340,53.341604,-6.250504,9.588521,10.874618,0.998386,0.552348
9.748982,18.154985,53.341502,-6.255129,12.112039,18.601699,0.800759,0.988127
16.232696,8.612863,53.341544,-6.255451,18.376668,4.963116,0.868306,0.915785
16.647241,6.757999,53.341551,-6.248387,14.989125,5.829366,0.991765,0.558314
9.169124,1.014806,53.341660,-6.258214,8.407273,2.210437,0.998946,0.796183
8.519405,17.438928,53.341533,-6.248383,10.815289,19.291334,0.872490,0.888296
7.677769,7.056425,53.341557,-6.255460,6.857312,4.963116,0.992544,0.915785
5.650814,9.053449,53.341616,-6.247255,4.657100,9.698560,0.951054,0.922078
7.026219,19.626835,53.341561,-6.256760,5.413796,22.482364,0.869257,0.945338
9.147047,18.081531,53.341530,-6.248375,5.829366,19.291334,0.558314,0.888296
8.725371,16.890442,53.341596,-6.261822,8.311945,18.188181,0.809021,0.857245
8.984534,17.889601,53.341578,-6.261816,6.271910,15.121195,0.990775,0.888846
15.012392,6.677341,53.341745,-6.261652,13.614895,7.521078,0.981192,0.815162
17.594150,8.645036,53.341792,-6.254819,15.410627,9.521150,0.940105,0.628221
17.350132,6.228893,53.341790,-6.254819,15.410627,2.845399,0.940105,0.989509
10.989651,5.666402,53.341618,-6.255807,11.406584,5.961828,0.933325,0.912434
10.659071,12.281454,53.341619,-6.255802,11.406584,11.912154,0.933325,0.802078
5.165213,18.778390,53.341612,-6.250519,5.021347,20.123994,0.987087,0.757514
4.913190,10.819340,53.341615,-6.250518,5.021347,10.874618,0.987087,0.552348
12.272775,12.856927,53.341714,-6.262714,13.170535,9.987505,0.969384,0.758267
5.332686,11.923571,53.341621,-6.255806,5.961828,11.912154,0.912434,0.802078
7.426897,20.792453,53.341604,-6.258236,2.210437,17.664709,0.796183,0.910698
17.116459,3.589054,53.341833,-6.253769,18.468058,3.686476,0.747067,0.900192
18.561145,11.000563,53.341613,-6.250516,20.123994,10.874618,0.757514,0.552348
9.058461,8.236253,53.341765,-6.261664,7.521078,7.681199,0.815162,0.937024
8.699509,15.938221,53.341762,-6.261662,7.521078,15.476043,0.815162,0.500000
17.366057,19.878193,53.341834,-6.252229,15.944808,18.898521,0.918384,0.867595
17.313318,14.802783,53.341833,-6.252229,15.944808,15.743309,0.918384,0.882627
10.511285,17.107698,53.341617,-6.250520,10.874618,20.504766,0.552348,0.993680
16.734142,8.703812,53.341679,-6.256184,19.395529,6.743397,0.951253,0.894953
8.410232,6.143346,53.341790,-6.254818,9.521150,2.845399,0.628221,0.989509
8.244112,14.594797,53.341789,-6.254817,9.521150,14.865780,0.628221,0.562954
8.227569,6.334750,53.341699,-6.256196,11.984883,6.743397,0.851023,0.894953
7.854771,13.604768,53.341707,-6.262711,10.297941,9.987505,0.655524,0.758267
15.209444,4.960943,53.341830,-6.249524,16.434968,4.417048,0.978348,0.880558
15.063022,9.079675,53.341830,-6.249522,16.434968,8.237637,0.978348,0.951463
14.806501,3.568091,53.341818,-6.249529,12.914228,4.417048,0.893357,0.880558
16.224316,19.463984,53.341616,-6.258238,16.305762,17.664709,0.735148,0.910698
10.512022,7.169947,53.341854,-6.250182,11.358113,7.189815,0.898787,0.991138
7.641520,15.352757,53.341765,-6.261655,7.681199,15.476043,0.937024,0.500000
6.892476,4.004698,53.341831,-6.253775,7.547740,3.686476,0.944915,0.900192
6.852255,9.565718,53.341741,-6.256452,6.085894,7.809843,0.958030,0.832972
14.831068,18.906312,53.341906,-6.247201,16.179252,19.378062,0.960901,0.833531
3.996221,8.859562,53.341821,-6.249524,2.079825,8.049712,0.928963,0.679709
5.339633,15.645605,53.341834,-6.249523,4.417048,15.537022,0.880558,0.898045
5.303675,10.612619,53.341833,-6.249523,4.417048,11.987160,0.880558,0.828285
11.729155,17.683522,53.341685,-6.249586,7.741295,14.451385,0.819920,0.929375
8.314633,11.702413,53.341865,-6.258267,13.830458,10.172451,0.931568,0.954630
14.178358,19.840414,53.341875,-6.258425,16.441693,19.250249,0.978540,0.904497
9.586570,11.080838,53.341832,-6.249529,8.237637,11.987160,0.951463,0.828285
9.770708,20.167308,53.341824,-6.249537,8.049712,20.950107,0.679709,0.994658
5.905885,14.315019,53.341791,-6.254815,2.845399,14.865780,0.989509,0.562954
7.609523,19.965383,53.341875,-6.258423,5.292396,19.250249,0.885322,0.904497
17.418651,15.076038,53.341887,-6.258639,16.608875,13.998064,0.894443,0.650681
7.482128,17.437777,53.341855,-6.250178,7.189815,18.632135,0.991138,0.827264
7.086344,13.755964,53.341879,-6.258523,6.803109,13.088774,0.948946,0.949201
9.398989,6.639707,53.341884,-6.258660,9.564848,7.406835,0.995911,0.999128
9.394689,13.698656,53.341884,-6.258660,9.564848,13.998064,0.995911,0.650681
8.508313,17.005063,53.341869,-6.258467,7.566060,19.250249,0.984045,0.904497
15.712011,10.529286,53.341834,-6.249522,15.537022,11.987160,0.898045,0.828285
15.779213,18.631967,53.341834,-6.249521,15.537022,20.950107,0.898045,0.994658
6.634239,13.692585,53.341884,-6.258660,7.406835,13.998064,0.999128,0.650681
18.648828,5.844437,53.341905,-6.247197,19.378062,7.566055,0.833531,0.984317
18.766744,7.218614,53.341905,-6.247199,19.378062,10.970092,0.833531,0.990986
16.330050,4.147638,53.341989,-6.261421,16.779984,0.903333,0.975088,0.975225
15.935860,12.472914,53.341975,-6.261567,16.539798,11.807542,0.996757,0.815024
15.941367,13.091146,53.341975,-6.261567,16.539798,12.844928,0.996757,0.819170
13.664482,19.708298,53.341845,-6.250149,15.151678,18.632135,0.725804,0.827264
16.043779,16.726790,53.341889,-6.258625,13.998064,15.977397,0.650681,0.873127
14.807330,4.211554,53.341846,-6.259083,15.058237,5.618857,0.777802,0.997303
5.703658,3.187882,53.341916,-6.252543,5.643238,1.792775,0.916016,0.867841
5.924641,9.189214,53.341918,-6.252544,5.643238,12.611598,0.916016,0.971545
19.766146,14.688942,53.341834,-6.252231,18.898521,15.743309,0.867595,0.882627
5.745777,7.344989,53.341904,-6.247198,7.566055,10.970092,0.984317,0.990986
4.840709,16.238074,53.341841,-6.259079,5.618857,20.469372,0.997303,0.815285
6.518515,19.870705,53.341824,-6.259126,12.450075,20.469372,0.687136,0.815285
4.191490,18.700775,53.341925,-6.252540,1.792775,18.315154,0.867841,0.852363
12.796929,5.743525,53.341863,-6.250168,12.864486,4.887677,0.939113,0.973122
10.161614,5.586762,53.341996,-6.261439,8.568370,0.903333,0.943906,0.975225
12.481467,13.095593,53.341975,-6.261567,11.807542,12.844928,0.815024,0.819170
5.101174,10.185633,53.341868,-6.250163,4.887677,10.099324,0.973122,0.886748
11.783051,21.658986,53.341919,-6.252583,12.611598,18.315154,0.971545,0.852363
13.279385,13.357765,53.341841,-6.252247,15.743309,15.914190,0.882627,0.813996
5.737626,5.997502,53.341959,-6.258820,2.516979,6.904953,0.989055,0.988043
18.243923,15.845112,53.341951,-6.250680,19.233338,16.772966,0.977571,0.776138
7.023275,6.704718,53.341944,-6.250658,6.539125,3.997764,0.744415,0.500000
6.962820,16.582037,53.341944,-6.250657,6.539125,13.028359,0.744415,0.941940
16.860650,16.214901,53.341824,-6.253333,20.134455,16.489701,0.768937,0.804159
18.162260,13.840441,53.342116,-6.249309,19.116108,13.858227,0.915618,0.756597
17.737356,19.028777,53.342066,-6.254408,17.987586,20.476627,0.765914,0.763036
6.753785,16.633779,53.341944,-6.250658,3.997764,13.028359,0.500000,0.941940
13.153558,7.128322,53.342111,-6.262676,13.380846,7.563414,0.975229,0.988220
12.998229,12.210196,53.342109,-6.262675,13.380846,12.838777,0.975229,0.947831
9.897647,10.552196,53.341971,-6.251999,11.327993,11.205919,0.907850,0.852137
